Tweet text,Link Title,Tweet total length,Hashtags length,Author total tweets,Author quality tweets,Host total urls,Host quality urls,Source total urls,Source quality urls,Number of hashtags,Number of user mentions,Quality score,Is retweet?
Capuchin Thug illustration by Seid based on a concept by James Kei. More: http://t.co/uRtJ6ja4SD #ZBrush http://t.co/UBjdb7qc7P,Character sketchbook by Seid - Page 2,127,6,5,3,11,2,10,0,1,0,-1,0
Alien Race: Monzeerian by Mytholon. #ZBrush sculpting and Photoshop paintover - http://t.co/K3vb96c3uO http://t.co/9ug6HJLQXQ,imagine - enthuse - inspire - Page 4,125,6,5,3,11,2,10,0,1,0,-1,0
The General work in progress 3D model done in Zbrush #3dmodel #3dsculpt #zbrush http://t.co/vOvdijWAk0,@akosimangtomas on Instagram: “The General work in progress 3D model done in Zbrush #3dmodel #3dsculpt #zbrush”,102,25,2,0,63,0,59,0,3,0,-1,0
ZBrush Test Answers http://t.co/5QG7MlVnmE,ZBrush,42,0,1,0,1,0,45,15,0,0,-1,0
Wed like to share with you another sneak peek of #ZBrush 4R7 scheduled for release before the end of the year: https://t.co/WV4wLrrkXL,ZBrush to KeyShot bridge teaser,134,6,5,3,106,102,11,5,1,0,1,0
Flight test i am in no way a animator lol  just wanted to try.using @maxon3d https://t.co/enPzpLz26C #zbrush #c4d #aftereffects,test flight,127,25,3,0,106,102,109,34,3,1,-1,0
Check out @ArtOfNickHiatt spaceships designed in @pixologic #ZBrush @KeyShot3D &amp; @Photoshop http://t.co/iVs1OcqVfu http://t.co/vTHq7yDPcN,Nicholas Hiatt,141,6,2,0,1,0,109,34,1,4,-1,0
150 HDR for free. High resolution - http://t.co/I1uJCbUysO Works great with #ZBrush and @KeyShot3D ! http://t.co/huZX3Povyt,NoEmotion HDRs,123,6,1,1,1,1,11,5,1,1,1,0
Image of the Day is this great ZBrush model of Daenerys Targaryen by Genc Buxheli! See more at http://t.co/2zMmCvRcFV http://t.co/2P3VAFjVI9,Daenerys Targaryen by Genc Buxheli | Fan Art | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,140,0,1,0,1,0,109,34,0,0,-1,0
A quick zbrush sculp...just practicing...messing around with the WME game engine...messing around with… http://t.co/1iAMmKoNf0,@akosimangtomas on Instagram: “A quick zbrush sculp...just practicing...messing around with the WME game engine...messing around with creating my own game content :):):)”,126,0,2,0,63,0,59,0,0,0,-1,0
.@ArtOfNickHiatt shares another spaceship concept created in #ZBrush @KeyShot3D &amp; @Photoshop http://t.co/iVs1OcqVfu http://t.co/6SgF6FaRNX,Nicholas Hiatt,142,6,2,0,1,0,109,34,1,3,-1,0
Survivalist created by Kevin Cassidy for the @TrionWorlds game #Defiance http://t.co/nP883In1v6 #scifi #3D #zbrush http://t.co/cXpEQAt1LY,Survivalist by Kevin Cassidy | Sci-Fi | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,137,27,15,0,1,0,23,5,4,1,-1,0
How to Create Realistic Portait with Zbrush http://t.co/Jo7FB14fDM #zbrushtutorial #animation #makingof http://t.co/MqfBDgRDzN,How to Create Realistic Portait with Zbrush | AVCGI 360,126,35,5,5,6,6,109,34,3,0,1,0
How to Create Realistic Male Model with Zbrush | AVCGI 360 | @scoopit http://t.co/tTBISkKxn6,How to Create Realistic Male Model with Zbrush ...,92,0,11,11,3,3,3,3,0,1,1,0
RT @Richenks: New CNR Up @ArtStationHQ http://t.co/Sp0NLYP3jM #3d #zbrush #keyshot http://t.co/KkBkqxFp7a,C.N.R MK-I Richie mason,105,19,1,0,16,0,10,0,3,2,-1,0
Incredible 3D Sculpting by Marianosteiner http://t.co/CbQ7cbYgPD #zbrush #zbrushcentral #3dsculpting #anypixel http://t.co/I2qqDECFZI,...far far away from work... Character Art~ - Page 10,133,44,8,3,11,2,23,5,4,0,-1,0
Sweet ZBRush/KeyShot action from @ArtOfNickHiatt plus two sweet KeyShotVRs here! http://t.co/jMtosUzXM2 http://t.co/D9QbKscvXL,www.nickhiatt.com,126,0,2,0,1,0,11,5,0,1,-1,0
Dont miss Pablos fantastic #ZBrush skin material and tutorial breakdown! http://t.co/Xvhy53oPJ7 http://t.co/VLJA7X17dF,Dynamesh sketchbook - Page 19,118,6,5,3,11,2,11,5,1,0,1,0
Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http://t.co/kkM6M4eu6n,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,5,3,11,2,11,5,0,0,1,0
I am the one who knocks. Great work by Wandong Xu in #Maya #Zbrush #Vray #Photoshop http://t.co/qxW6VBTMuO http://t.co/JIvJpJLXIB,WW by Wandong Xu | Fan Art | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,129,29,3,0,2,0,10,0,4,0,-1,0
In case you missed it - Transience. #zbrush #c4d #awesome More at http://t.co/MwovpMExYB http://t.co/8VbpDCseS0,Behance,111,20,3,0,2,0,59,0,3,0,-1,0
In case you missed it - Transience. #zbrush #c4d #awesome More at http://t.co/MwovpMExYB http://t.co/8VbpDCseS0,Adam Spizak on Instagram: “In case you missed it - Transience. #zbrush #c4d #awesome More at behance.net/spizak”,111,20,3,0,63,0,59,0,3,0,-1,0
3rd Eye #zbrush #pixologic #photoshop #shyne #3d #monster #creature #eye #3rd #zver http://t.co/ROrHaHEjFT,@hristianshyne on Instagram: “3rd Eye #zbrush #pixologic #photoshop #shyne #3d #monster #creature #eye #3rd #zver”,106,74,6,0,63,0,59,0,10,0,-1,0
Render of the day - Elizabeth: http://t.co/9bObA1MV3g #zbrush #mudbox #vray,CG Inspiration,75,20,2,0,12,1,13,1,3,0,-1,0
Senior Character Artist Frankie DeRosa re-created Raphael. http://t.co/sZ6sHfbHsV #Maya #Zbrush #MentalRay #TMNT http://t.co/pSB0XjWW9E,TMNT Raphael Frankie DeRosa,135,29,3,0,16,0,10,0,4,0,-1,0
Look at these #ornaments I #designed. #3dprinting #3dprinted #3dprint #3dartist #3dsmax #zbrush… http://t.co/tAwYygmc9g,www.christinachun.com on Instagram: “Look at these #ornaments I #designed. #3dprinting #3dprinted #3dprint #3dartist #3dsmax #zbrush #sculpteo #SLS #nylon #red #white #green…”,119,77,1,0,63,0,59,0,8,0,-1,0
Darth Waru sculpted by matys103 http://t.co/7OWny0ENpm #zbrush #photoshop #characterart #digitalsculpting #3d #scifi http://t.co/MoFVePWWvo,Mateusz Wojtas Sketchbook,139,60,15,0,11,2,23,5,6,0,-1,0
Spiderman 2099 #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel… http://t.co/Wdcl2DkQHf,Dwayne Hanley on Instagram: “Spiderman 2099 #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel #marvelcomics #marvelcharacter…”,125,85,12,0,63,0,59,0,9,0,-1,0
RT @UArtsy: Darth Waru sculpted by matys103 http://t.co/7OWny0ENpm #zbrush #photoshop #characterart #digitalsculpting #3d #scifi http://t.c…,Mateusz Wojtas Sketchbook,140,60,1,0,11,2,6,0,6,1,-1,1
